;link;title;origin_name;genre;year;rating
0;https://filmix.ac/films/triller/168290-temnyy-aktiv-2022.html;Темный актив;Dark Asset;Триллеры;2022;3
1;https://filmix.ac/series/drama/167643-asoka-2023.html;Асока;Ahsoka;Драмы;2023;825
2;https://filmix.ac/films/dokumentalenyj/168294-tutanhamon-poslednyaya-vystavka-2022.html;Тутанхамон: Последняя выставка;Tutankhamun: The Last Exhibition;Документальные;2022;0
3;https://filmix.ac/films/dokumentalenyj/168289-sudba-poteryannoy-podvodnoy-lodki-2009.html;Судьба потерянной подводной лодки;Lost & Found: The Search for USS Lagarto;Документальные;2009;1
4;https://filmix.ac/films/istoricheskie/168288-tayny-tretego-reyha-v-poiskah-bomby-gitlera-2015.html;Тайны Третьего рейха. В поисках бомбы Гитлера;Die Suche nach Hitlers Atombombe;Исторический;2015;0
5;https://filmix.ac/series/dokumentalenyj/168284-pytlivye-umy-naydzhel-latta-2018.html;Пытливые умы: Найджел Латта;The Curious Mind with Nigel Latta;Документальные;2018;0
6;https://filmix.ac/series/tvs/85186-golye-and-napugannye-scr-2013.html;Голые и напуганные;Naked and Afraid;Передачи с ТВ;2013;2668
7;https://filmix.ac/multseries/for_adults/8975-novi-4w-futurama-2010.html;Футурама;Futurama;Для взрослых;1999;13480
8;https://filmix.ac/films/drama/166628-korol-ulic-kinos-2023.html;Король улиц;Omar la fraise;Драмы;2023;12
9;https://filmix.ac/films/drama/167894-chuzhaya-2023.html;Чужая;;Драмы;2023;42
10;https://filmix.ac/series/komedia/140340-a-zavodchiki-2020.html;Заводчики;Breeders;Комедия;2020;713
11;https://filmix.ac/series/drama/153691-11s3-ubiystva-v-odnom-zdanii-2021.html;Убийства в одном здании;Only Murders in the Building;Драмы;2021;1491
12;https://filmix.ac/series/kriminaly/168170-zhenskoe-carstvo-2020.html;Женское царство;Królestwo kobiet;Криминал;2020;65
13;https://filmix.ac/series/komedia/167839-pervokursnicy-2023.html;Первокурсницы;;Комедия;2023;887
14;https://filmix.ac/series/kriminaly/168287-dlinnaya-ten-2022.html;Длинная тень;The Long Shadow;Криминал;2022;13
15;https://filmix.ac/series/drama/157685-u1666u-vremya-pobezhdat-rascvet-dinastii-leykers-2022.html;Время побеждать: Расцвет династии Лейкерс;Winning Time: The Rise of the Lakers Dynasty;Драмы;2022;447
16;https://filmix.ac/films/dokumentalenyj/168272-avstraliya-strana-kenguru-golubye-gory-2023.html;Австралия - страна кенгуру. Голубые горы;Australia. Hidden Wonders of The Blue Mountains;Документальные;2023;17
17;https://filmix.ac/films/dokumentalenyj/168273-avstraliya-strana-kenguru-bolshoe-nichego-2022.html;Австралия - страна кенгуру. Большое ничего;Australia. Existence in the Extremes;Документальные;2022;13
18;https://filmix.ac/films/drama/162389-vremya-armageddona-well-2022.html;Время Армагеддона;Armageddon Time;Драмы;2022;80
19;https://filmix.ac/films/drama/167403-do-togo-kak-ya-peredumal-2022.html;До того, как я передумал;Before I Change My Mind;Драмы;2022;29
20;https://filmix.ac/films/triller/168250-sem-odinnadcat-vechera-2023.html;Семь одиннадцать вечера;7:11 PM;Триллеры;2023;62
21;https://filmix.ac/films/triller/166122-gipnotik-2023.html;Гипнотик;Hypnotic;Триллеры;2023;2539
22;https://filmix.ac/films/uzhasu/98596-ono-ono-sleduet-za-toboy-it-follows-2014.html;Оно;It Follows;Ужасы;2014;524
23;https://filmix.ac/films/prikluchenija/166737-indiana-dzhons-i-koleso-sudby-2023.html;Индиана Джонс и колесо судьбы;Indiana Jones and the Dial of Destiny;Приключения;2023;2003
24;https://filmix.ac/films/triller/136930-perelom-vay-2019.html;Перелом;Fractured;Триллеры;2019;1870
25;https://filmix.ac/films/fantastiks/56415-tihookeanskiy-rubezh-dubl-2013.html;Тихоокеанский рубеж;Pacific Rim;Фантастика;2013;2793
26;https://filmix.ac/films/uzhasu/166221-bugimen-foccus-2023.html;Бугимен;The Boogeyman;Ужасы;2023;293
